AWRE | Volume: 647814.00 - 2021-02-09
OPRX | Volume: 748995.00 - 2021-02-09
CCLP | Volume: 755200.00 - 2021-02-08
VJET | Volume: 783400.00 - 2021-01-07
BCEL | Volume: 1035000.00 - 2020-12-18
OPRA | Volume: 1097700.00 - 2021-01-11
GROW | Volume: 1517500.00 - 2021-02-08
ULBI | Volume: 1521900.00 - 2021-02-08
RELL | Volume: 1614104.00 - 2021-02-09
MKSI | Volume: 1967300.00 - 2021-02-08
TMDX | Volume: 2208862.00 - 2021-02-09
COLL | Volume: 2428445.00 - 2021-02-09
HAS | Volume: 2629200.00 - 2021-02-08
IRDM | Volume: 2686683.00 - 2021-02-09
CBIO | Volume: 2763763.00 - 2021-02-09
NBLX | Volume: 3037000.00 - 2021-02-05
ABIO | Volume: 3159100.00 - 2020-12-22
AMKR | Volume: 3477300.00 - 2021-02-08
OPCH | Volume: 4128458.00 - 2021-02-09
EKSO | Volume: 4207416.00 - 2021-02-09
MEIP | Volume: 4701400.00 - 2021-02-08
NMRD | Volume: 6241400.00 - 2021-02-08
SIEN | Volume: 7359400.00 - 2021-02-08
GMBL | Volume: 7453500.00 - 2021-02-08
EVOK | Volume: 9224711.00 - 2021-02-09
RMTI | Volume: 10664465.00 - 2021-02-09
ABEO | Volume: 16644000.00 - 2021-02-08
WPRT | Volume: 22827800.00 - 2021-02-08
KALV | Volume: 30838525.00 - 2021-02-09
BXRX | Volume: 33476700.00 - 2021-02-08
TXMD | Volume: 44550500.00 - 2021-02-08
GLUU | Volume: 52971823.00 - 2021-02-09
OGI | Volume: 115983063.00 - 2021-02-09
AEZS | Volume: 150217500.00 - 2021-02-02
